Date,Expenses,Category,Amount,Inflation,Income
15-07-2022,Entertainment,Obligation,2772.67,0.61,60434
15-07-2022,Entertainment,Obligation,3637.14,0.61,60434
15-08-2022,Entertainment,Obligation,2637.14,0.63,60566
16-08-2022,Entertainment,Obligation,3651,0.63,60566
16-08-2022,Entertainment,Obligation,2772.67,0.63,60566
30-09-2022,Entertainment,Obligation,2646,0.69,60123
05-10-2022,Entertainment,Obligation,2833,0.77,61234
09-10-2022,Entertainment,Obligation,1745,0.77,61234
12-10-2022,Entertainment,Obligation,2944,0.77,61234
02-11-2022,Entertainment,Obligation,2855,0.8,61245
07-11-2022,Entertainment,Obligation,3079,0.8,61245
10-12-2022,Entertainment,Obligation,2857,0.81,62189
14-12-2022,Entertainment,Obligation,2823,0.81,62189
15-01-2023,Entertainment,Obligation,2950,0.37,63000
21-01-2023,Entertainment,Obligation,2528.03,0.37,63000
12-02-2023,Entertainment,Obligation,2950,0.42,63000
24-02-2023,Entertainment,Obligation,2621.52,0.42,63000
26-02-2023,Entertainment,Obligation,2950,0.42,63000
01-03-2023,Entertainment,Obligation,2410,0.41,63000
15-03-2023,Entertainment,Obligation,2950,0.41,63000
16-03-2023,Entertainment,Obligation,2350,0.41,63000
