Date,Expenses,Category,Amount,Inflation,Income
12-08-2020,Food/Drinks,Survival,3545,0.44,10981.44
12-08-2020,Food/Drinks,Optional,3470,0.44,10981.44
13-08-2020,Food/Drinks,Optional,3463,0.44,10981.44
18-08-2020,Food/Drinks,Survival,3580,0.44,10981.44
21-08-2020,Food/Drinks,Survival,3635,0.44,10981.44
02-09-2020,Food/Drinks,Survival,3530,0.42,6681
03-09-2020,Food/Drinks,Survival,3490,0.42,6681
08-09-2020,Food/Drinks,Survival,3560,0.42,6681
10-09-2020,Food/Drinks,Survival,3500,0.42,6681
10-09-2020,Food/Drinks,Survival,3520,0.42,6681
16-09-2020,Food/Drinks,Survival,3560,0.42,6681
17-09-2020,Food/Drinks,Survival,3620,0.42,6681
01-10-2020,Food/Drinks,Survival,3678,0.4,7699.5
08-10-2020,Food/Drinks,Survival,3696,0.4,7699.5
08-10-2020,Food/Drinks,Survival,3620,0.4,7699.5
08-10-2020,Food/Drinks,Survival,3616,0.4,7699.5
13-10-2020,Food/Drinks,Survival,3685,0.4,7699.5
15-10-2020,Food/Drinks,Survival,3648,0.4,7699.5
16-10-2020,Food/Drinks,Survival,3696,0.4,7699.5
05-11-2020,Food/Drinks,Survival,3627,0.37,12253
06-11-2020,Food/Drinks,Survival,3696,0.37,12253
06-11-2020,Food/Drinks,Optional,3903,0.37,12253
08-11-2020,Food/Drinks,Optional,3903,0.37,12253
13-11-2020,Food/Drinks,Survival,3996,0.37,12253
13-11-2020,Food/Drinks,Optional,3903,0.37,12253
17-11-2020,Food/Drinks,Survival,3984,0.37,12253
19-11-2020,Food/Drinks,Survival,3934,0.37,12253
28-11-2020,Food/Drinks,Optional,3903,0.37,12253
01-12-2020,Food/Drinks,Survival,3970,0.33,16259.1
05-12-2020,Food/Drinks,Survival,3996,0.33,16259.1
05-12-2020,Food/Drinks,Optional,3903,0.33,16259.1
08-12-2020,Food/Drinks,Survival,4000,0.33,16259.1
11-12-2020,Food/Drinks,Optional,3903,0.33,16259.1
12-12-2020,Food/Drinks,Optional,4065,0.33,16259.1
15-12-2020,Food/Drinks,Survival,3965,0.33,16259.1
04-01-2021,Food/Drinks,Survival,4249,0.37,16477
10-01-2021,Food/Drinks,Optional,4158,0.37,16477
13-01-2021,Food/Drinks,Survival,4250,0.37,16477
16-01-2021,Food/Drinks,Survival,4255,0.37,16477
24-01-2021,Food/Drinks,Optional,4158,0.37,16477
01-02-2021,Food/Drinks,Survival,4255,0.42,16357
03-02-2021,Food/Drinks,Survival,4251,0.42,16357
08-02-2021,Food/Drinks,Survival,4198,0.42,16357
10-02-2021,Food/Drinks,Survival,4345,0.42,16357
17-02-2021,Food/Drinks,Survival,4231,0.42,16357
19-02-2021,Food/Drinks,Optional,4603,0.42,16357
03-03-2021,Food/Drinks,Optional,4673,0.41,30942
08-03-2021,Food/Drinks,Optional,4623,0.41,30942
13-03-2021,Food/Drinks,Survival,4728,0.41,30942
19-03-2021,Food/Drinks,Optional,4630,0.41,30942
20-03-2021,Food/Drinks,Survival,4708,0.41,30942
03-04-2021,Food/Drinks,Survival,4680,0.41,20180.3
04-04-2021,Food/Drinks,Optional,4649,0.41,20180.3
07-04-2021,Food/Drinks,Survival,4719,0.41,20180.3
17-04-2021,Food/Drinks,Survival,4917,0.41,20180.3
02-05-2021,Food/Drinks,Survival,4871,0.41,20180.3
02-05-2021,Food/Drinks,Optional,4810,0.41,20180.3
06-05-2021,Food/Drinks,Survival,4890,0.41,20180.3
06-05-2021,Food/Drinks,Optional,4810,0.41,20180.3
10-05-2021,Food/Drinks,Survival,4848,0.41,20180.3
12-05-2021,Food/Drinks,Optional,4803,0.41,20180.3
03-06-2021,Food/Drinks,Optional,4792,0.37,30860
09-06-2021,Food/Drinks,Optional,4792,0.37,30860
17-06-2021,Food/Drinks,Optional,4792,0.37,30860
24-06-2021,Food/Drinks,Optional,4809,0.37,30860
25-06-2021,Food/Drinks,Optional,4792,0.37,30860
30-06-2021,Food/Drinks,Survival,4854,0.37,30860
01-07-2021,Food/Drinks,Optional,4812,0.37,25794.6
03-07-2021,Food/Drinks,Survival,4951,0.37,25794.6
05-07-2021,Food/Drinks,Survival,4853,0.37,25794.6
08-07-2021,Food/Drinks,Optional,4792,0.37,25794.6
09-07-2021,Food/Drinks,Survival,4953,0.37,25794.6
08-08-2021,Food/Drinks,Survival,4974,0.44,36278.6
12-08-2021,Food/Drinks,Survival,4910,0.44,36278.6
15-08-2021,Food/Drinks,Survival,5043,0.44,36278.6
22-08-2021,Food/Drinks,Survival,5050,0.44,36278.6
24-08-2021,Food/Drinks,Survival,4965,0.44,36278.6
29-08-2021,Food/Drinks,Survival,4943,0.44,36278.6
02-09-2021,Food/Drinks,Optional,4903,0.42,32644.5
05-09-2021,Food/Drinks,Survival,4960,0.42,32644.5
06-09-2021,Food/Drinks,Survival,5018,0.42,32644.5
07-09-2021,Food/Drinks,Survival,4923,0.42,32644.5
08-09-2021,Food/Drinks,Survival,4927,0.42,32644.5
09-09-2021,Food/Drinks,Optional,4903,0.42,32644.5
10-09-2021,Food/Drinks,Survival,5028,0.42,32644.5
28-09-2021,Food/Drinks,Survival,4920,0.42,32644.5
03-10-2021,Food/Drinks,Survival,5004,0.4,34027.9
07-10-2021,Food/Drinks,Survival,4996,0.4,34027.9
08-10-2021,Food/Drinks,Obligation,4959,0.4,34027.9
14-10-2021,Food/Drinks,Optional,4903,0.4,34027.9
18-10-2021,Food/Drinks,Survival,4999,0.4,34027.9
05-11-2021,Food/Drinks,Survival,5294,0.37,36070.1
06-11-2021,Food/Drinks,Survival,5280,0.37,36070.1
14-11-2021,Food/Drinks,Survival,5504,0.37,36070.1
22-11-2021,Food/Drinks,Survival,5274,0.37,36070.1
30-11-2021,Food/Drinks,Optional,5371,0.37,36070.1
03-12-2021,Food/Drinks,Survival,5364,0.31,55487.25
05-12-2021,Food/Drinks,Survival,5382,0.31,55487.25
09-12-2021,Food/Drinks,Survival,5304,0.31,55487.25
15-12-2021,Food/Drinks,Survival,5369,0.31,55487.25
